Name,phone,address,type,OPEN,picture,image url,Latitude,longitute
The Endup,(415) 646-0999," 401 6th St, San Francisco, CA 94708",bar," 
Friday 9:30 pm – 8:00 am
Saturday 10:00 pm – 8:00 am
Sunday 1:00 – 9:00 pm 
",,http://www.theendup.com/club/wp-content/uploads/galleryimages/b7g76jET95e1icT8.jpg,,
Holy Cow Nightclub,(415) 621-6087,,,,,,,
Beatbox,(415) 500-2675,,,,,,,
OMG!,(415) 896-6473,"43 6th St, San Francisco, CA 94103",night club,7:00 pm - 2:00 am ,,https://evbdn.eventbrite.com/s3-s3/eventlogos/32513655/image2.png,,
Mezzanine,(415) 625-8880,,,,,,,
Miraloma Club,(415) 564-1131,,,,,,,
DNA Lounge,(415) 626-1409,"375 Eleventh St., San Francisco, CA 94103",night club,Open 24 hours,,https://www.dnalounge.com/booking/005.jpg,,
Infusion Lounge,(415) 421-8700,"124 Ellis St, San Francisco, CA 94102
",lounge,6:00 pm – 2:00 am,,http://guestlistamerica.com/wp-content/uploads/2013/02/main-lounge.jpg,,
Swank Cocktail & Coffee Club,(415) 346-7431,,,,,,,
Temple Nightclub,(415) 978-9942,"540 Howard St, San Francisco, CA 94105",night club,10:00 pm – 4:00 am,,http://photos3.meetupstatic.com/photos/event/a/4/0/8/600_430061992.jpeg,,
Harlot,(415) 777-1077,"46 Minna St, San Francisco, CA 94105",night club,9:00 pm – 2:00 am,,http://cdn.djoybeat.com/wp-content/uploads/2012/12/harlot-sf3.jpg,,
Zam Zam,(415) 861-2545,,,,,,,
Bimbo's 365 Club,(415) 474-0365,,,,,,,
Manor West,(415) 882-4435,,,,,,,
Blow Buddies,(415) 777-4323,,,,,,,
ROE Restaurant,(415) 227-0288,,,,,,,
Sip Bar & Lounge,(415) 699-6545,,,,,,,
Crazy Horse SF Gentlemans Club,(415) 771-6259,,,,,,,
Monroe,(415) 772-9002,,,,,,,
Lookout,(415) 431-0306,"3600 16th St, San Francisco, CA 94114",Gay bar,3:30 pm – 2:00 am,,https://geo0.ggpht.com/cbk?output=tile&cb_client=maps_sv.gps&panoid=_bLCsw6PBLIAAAQfCRPoLQ&x=0&y=0&zoom=5,,
50 Mason Social House,(415) 433-5050,,,,,,,
Philosophers Club,(415) 753-0599,"824 Ulloa St, San Francisco, CA 94127",bar,10:00 am – 2:00 am,,https://lh3.googleusercontent.com/-8BbNqkpbUCE/Ug0zsuiPk6I/AAAAAAAALMM/VrQeyHnRlBk/s285-k-no/2013-08-15,,
Club 26 Mix,(415) 826-7378,,,,,,,
Bench and Bar,(510) 444-2266,,,,,,,
Centerfolds,(415) 834-0662,,,,,,,
Blondies' Bar & No Grill,(415) 864-2419,,,,,,,
Qi Ultra Lounge,(415) 957-9005,,,,,,,
Jay'n Bee Club,(415) 824-4190,,,,,,,
AsiaSF,(415) 255-2742,"201 9th St, San Francisco, CA 94103",Asian Fusion Restaurant / nigh club,7:15 pm – 2:00 am,,http://asiasf.com/wp-content/uploads/2013/08/aliyah-amber-nya.jpg,,
International Sports Club,(415) 775-6036,,,,,,,
The Bubble Lounge,(415) 434-4204,,,,,,,
Bissap Baobab,(415) 826-9287,,,,,,,
Bamboo Hut,(415) 989-8555,,,,,,,
Royal Tug Yacht Club,(415) 413-0200,,,,,,,
Savanna Jazz,(415) 285-3369,,,,,,,
The San Francisco Athletic Club,(415) 923-8989,,,,,,,
Cat Club,(415) 703-8965,,,,,,,
Club Kristi,(415) 922-2805,,,,,,,
Keane's 3300 Club,(415) 826-6886,,,,,,,
Delirium,(415) 552-5525,"3139 16th St, San Francisco, CA 94103",cocktail bar, 2:00 pm – 2:00 am,,https://lh6.googleusercontent.com/-vl37m4n-8xM/Uae7wVLdyUI/AAAAAAAAE8M/4pJRXEK7LyY/s285-k-no/2013-05-30,,
23 Club,(415) 467-7717,"23 Visitacion Ave, Brisbane, CA 94005",Bar,3pm - 2 am,,https://lh6.googleusercontent.com/-gVSVS9fv0TQ/VMiSwcGk6PI/AAAAAAAAAAc/CQjSSlNB3CE/s286-k-no/photo.jpg,,
New Century Theater,(415) 776-0212,,,,,,,
Bottom of the Hill,(415) 626-4455,,,,,,,
The Starlight Room,(415) 395-8595,,,,,,,
Eli's Mile High Club,(510) 350-7818,,,,,,,
Rasselas Jazz Club,(415) 346-8696,,,,,,,
Swig,(415) 931-7292,,,,,,,
Origin,(415) 825-0338,,,,,,,
Attic,,,,,,,,
Trocadero Club,(415) 952-0481,,,,,,,
Club Malibu,,,,,,,,
Jack's Club,(415) 641-5371,,,,,,,
Beauty Bar,(415) 285-0323,,,,,,,
El Toro Night Club,(415) 468-0670,,,,,,,
Slide,(415) 421-1916,,,,,,,
A3 Atmosphere,(415) 788-4623,,,,,,,
The Chapel,(415) 551-5157,,,,,,,
Elbo Room,(415) 552-7788,,,,,,,
Kona Club,(510) 654-7100,,,,,,,
Eastside West Restaurant & Bar,(415) 885-4000,,,,,,,
Noc Noc,(415) 861-5811,,,,,,,
